SCT,SRT,SNOMED Fully Specified Name
20760004,T-12412,Bone structure of shaft of humerus (body structure)
20982000,T-40050,Structure of capillary blood vessel (organ) (body structure)
21008007,M-84403,Cystadenocarcinoma (morphologic abnormality)
21021000,L-80610,Large black pig (organism)
21039009,L-80837,Puli dog (organism)
21058000,T-C5330,Structure of tubal tonsil (body structure)
21114003,G-A472,Oblique (qualifier value)
21133008,T-12435,Bone structure of shaft of ulna (body structure)
21134002,F-00100,Disability (finding)
21150005,L-80851,Schipperke dog (organism)
21161002,T-A8570,Glossopharyngeal nerve structure (body structure)
21208000,L-80214,Saanen goat (organism)
21278004,F-13060,Passive movement (observable entity)
21295007,L-80431,Morgan horse (organism)
21306003,T-58400,Jejunal structure (body structure)
21326004,M-80453,Combined small cell carcinoma (morphologic abnormality)
21379009,D3-83660,Ruptured sinus of Valsalva (disorder)
21381006,D7-90434,Fat necrosis of breast (disorder)
21387005,T-11190,Hyoid bone structure (body structure)
21418008,L-80894,English cocker spaniel (organism)
21479005,T-45170,Structure of carotid sinus (body structure)
21483005,T-A0090,Structure of central nervous system (body structure)
21553004,L-80148,Luing cattle breed (organism)
21572004,C-114A4,^123^Iodine (substance)
21576001,C-107A1,^13^ Nitrogen (substance)
21592006,C-22844,Tartrazine stain (substance)
21594007,G-A425,Malignant (qualifier value)
21637005,L-80A14,Egyptian mau cat (organism)
21672008,T-02108,Skin of parietal region (body structure)
21708004,M-91803,"Osteosarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
21726001,L-80A07,American wirehaired cat (organism)
21793004,T-1A200,Connective tissue structure (body structure)
21807003,T-46427,Structure of left branch of hepatic artery (body structure)
21814001,T-32400,Cardiac ventricular structure (body structure)
21844003,T-D6221,Pelvic cavity structure (body structure)
21870002,A-26920,"Transluminal extraction catheter, device (physical object)"
21875007,T-C46A5,Structure of pararectal lymph node (body structure)
21921002,L-80116,Canadian cattle breed (organism)
21951008,C-22959,Alizarin cyanine green stain (substance)
21964009,M-95903,"Malignant lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
21974007,T-53000,Tongue structure (body structure)
22021002,C-22896,Methyl green stain (substance)
22024005,M-83240,Lipoadenoma (morphologic abnormality)
22036004,M-32390,Pseudoaneurysm (morphologic abnormality)
22039006,M-32201,Ruptured aneurysm (morphologic abnormality)
22049009,D7-90370,Mammary duct ectasia (disorder)
22083002,T-46460,Structure of splenic artery (body structure)
22120004,T-54280,Structure of maxillary right central incisor tooth (body structure)
22180002,T-02471,Skin structure of buttock (body structure)
22270008,T-28630,Structure of anterior segment of upper division of left upper lobe of lung (body structure)
22286001,T-45200,External carotid artery structure (body structure)
22298006,D3-15000,Myocardial infarction (disorder)
22325002,F-18002,Abnormal gait (finding)
22356005,T-12340,Bone structure of ilium (body structure)
22445006,T-54720,Structure of deciduous mandibular right lateral incisor tooth (body structure)
22506004,L-80540,British lop pig (organism)
22687000,M-80123,Large cell carcinoma (morphologic abnormality)
22688005,T-13100,Skeletal muscle structure of head (body structure)
22694002,M-85733,Adenocarcinoma with apocrine metaplasia (morphologic abnormality)
22697009,L-80884,American cocker spaniel (organism)
22720009,L-80416,Belgian horse (organism)
22749001,C-22913,Victoria blue B stain (substance)
22765000,T-43230,Structure of marginal branch of right coronary artery (body structure)
22778000,P1-38200,Venipuncture (procedure)
22823000,T-13310,Structure of sternocleidomastoid muscle (body structure)
22890008,P1-48840,Augmentation mammoplasty (procedure)
22931006,C-22854,Evans blue stain (substance)
22943007,T-D2000,Trunk structure (body structure)
22945000,T-AB700,Inner ear structure (body structure)
22968009,C-22827,Sunset yellow FCF stain (substance)
22979004,C-B1083,Oleic acid I^125^ (substance)
23053002,C-B0333,Iophenoxic acid (substance)
23074001,T-45240,Structure of facial artery (body structure)
23141003,F-20130,Gasping for breath (finding)
23153004,T-58650,Ileocecal valve structure (body structure)
23159000,L-807D0,Japanese spaniel (organism)
23172004,C-12500,Bismuth (substance)
23180006,T-A1280,Pia mater structure (body structure)
23198005,T-C4624,Structure of medial lacunar lymph node (body structure)
23213005,T-81270,Vulval vestibule structure (body structure)
23226009,T-54330,Structure of maxillary left second premolar tooth (body structure)
23242002,F-10336,Knee-chest position (finding)
23347006,T-A2710,Structure of splenium of corpus callosum (body structure)
23416004,T-12430,Bone structure of ulna (body structure)
23427002,T-54340,Structure of maxillary left first molar tooth (body structure)
23438002,T-49660,Structure of profunda femoris vein (body structure)
23451007,T-B3000,Adrenal structure (body structure)
23583003,M-40000,Inflammation (morphologic abnormality)
23629009,L-80137,Hays converter cattle breed (organism)
23719005,P1-67D40,Transplantation of bone marrow (procedure)
23730008,M-80500,"Papilloma, no International Classification of Diseases for Oncology subtype (except papilloma of bladder M-81201) (morphologic abnormality)"
23747009,T-02155,Skin structure of chin (body structure)
23771002,T-46410,Structure of left gastric artery (body structure)
23788009,C-180A2,^97^Ruthenium (substance)
23826000,L-80A00,Feline species (organism)
23995009,L-80730,Bull terrier (organism)
24010005,DA-73410,Aphakia (disorder)
24020000,G-A142,Horizontal (qualifier value)
24028007,G-A100,Right (qualifier value)
24062007,T-14165,Structure of innermost intercostal muscle (body structure)
24097009,T-12600,Bone structure of hand (body structure)
24099007,C-10110,Oxygen (substance)
24111007,L-80573,FHC elite pig 3 (organism)
24135002,P5-B0008,Ultrasonography of total body (procedure)
24136001,T-15710,Hip joint structure (body structure)
24142002,T-04100,Nipple structure (body structure)
24154002,F-10100,"Musculoskeletal extension, function (observable entity)"
24162005,T-87600,Ovarian follicle structure (body structure)
24167004,C-22886,Fast green FCF stain (substance)
24215009,C-21919,Picric acid (substance)
24299002,L-80878,Skye terrier (organism)
24301009,C-146A9,^198^Gold (substance)
24319000,L-80530,Boar power pig 414 (organism)
24389009,M-44150,Injection site granuloma (morphologic abnormality)
24422004,G-A147,Axial (qualifier value)
24483006,T-02113,Skin structure of postauricular region (body structure)
24484000,G-A003,Severe (severity modifier) (qualifier value)
24511001,C-B1221,Technetium Tc^99m^ succimer (substance)
24516006,C-22937,Meldola blue stain (substance)
24527008,T-02642,Skin structure of palmar area of wrist (body structure)
24532009,T-11106,Structure of foramen magnum (body structure)
24573005,T-54400,Structure of mandibular left second premolar tooth (body structure)
24587005,P3-41910,Image analysis (procedure)
24840008,L-80550,CPF pig (organism)
24853006,C-136A2,^223^Radium (substance)
24863003,G-A491,Postprandial (qualifier value)
24865005,T-42230,Structure of posterior sinus of Valsalva (body structure)
24889003,T-C4460,Structure of pyloric lymph node (body structure)
24891006,C-B0347,Sodium diatrizoate (product)
24900003,C-22956,Procion brilliant blue MRS stain (substance)
24924006,T-11120,Parietal bone structure (body structure)
24967003,L-80A54,Oriental shorthaired cat (organism)
24977001,P2-67017,Topical chemotherapy for malignant neoplasm (procedure)
25062003,A-26430,"Feeding tube, device (physical object)"
25064002,F-A2700,Headache (finding)
25079009,C-22843,Lissamine fast yellow stain (substance)
25091000,C-22909,Solochrome cyanine R stain (substance)
25097001,L-80702,Hound (organism)
25126001,G-A477,Pedunculated (qualifier value)
25171009,L-80765,Redbone coonhound (organism)
25211005,S-101A1,Aunt (person)
25238003,T-A8000,Cranial nerve structure (body structure)
25243005,L-80831,Toy poodle (organism)
25247006,T-C4130,Structure of anterior auricular lymph node (body structure)
25264009,L-80823,German wirehaired pointer (organism)
25322007,M-32000,Dilatation (morphologic abnormality)
25327001,L-80320,Dorset sheep superbreed (organism)
25342003,T-AB300,Middle ear structure (body structure)
25351006,C-22A06,Fluorescein sodium stain (substance)
25369002,L-80464,Westphalian horse (organism)
25419009,C-12217,Barium sulfate (product)
25437005,F-32052,Cardiac dyskinesia (finding)
25447008,T-C4362,Structure of posterior mediastinal lymph node (body structure)
25489000,T-39050,Pericardial cavity structure (body structure)
25510005,A-04110,"Cardiac valve prosthesis, device (physical object)"
25569003,D3-31700,Ventricular tachycardia (disorder)
25594002,G-4042,Moderate risk of (contextual qualifier) (qualifier value)
25660007,L-80306,Barbados sheep (organism)
25683005,T-C4250,Structure of retropharyngeal lymph node (body structure)
25748002,T-54300,Structure of maxillary left lateral incisor tooth (body structure)
25761002,F-64210,Glutamine (substance)
25763004,T-02831,Skin of anterior surface of lower leg (body structure)
25813002,L-80426,Holsteiner horse (organism)
25856007,L-80539,Boar power pig 929 (organism)
25876001,G-D209,Emergency (qualifier value)
25910003,M-80503,Papillary carcinoma (morphologic abnormality)
25941002,C-22824,Orange II stain (substance)
25943004,T-32820,Structure of atrioventricular node (body structure)
25990002,T-72000,Renal pelvis structure (body structure)
25991003,T-A6040,Cerebellar cortex structure (body structure)
26036001,M-34000,Obstruction (morphologic abnormality)
26046004,P2-31102,Cardiovascular stress test using bicycle ergometer (procedure)
26057009,L-80A53,Exotic shorthaired cat (organism)
26079004,F-A4600,Tremor (finding)
26105007,L-80143,Holstein-Friesian cattle breed (organism)
26140008,T-51130,Uvula palatina structure (body structure)
26141007,F-38278,ST segment depression (finding)
26146002,D4-31010,Complete transposition of great vessels (disorder)
26194003,C-16400,Tungsten (substance)
26216008,G-A110,Central (qualifier value)
26229008,L-80846,Nova Scotia duck tolling retriever (organism)
26230003,T-A2830,Structure of uncinate fasciculus (body structure)
26242008,G-A660,Mixed (qualifier value)
26283006,G-A139,Superficial (qualifier value)
26332008,L-80809,Norwich terrier (organism)
26370007,C-A7000,Hemostatic agent (product)
26382003,L-80A16,Japanese bobtail cat (organism)
26386000,T-AA079,Vitreous cavity structure (body structure)
26412008,A-25350,"Endotracheal tube, device (physical object)"
26444007,T-12200,Shoulder girdle structure (body structure)
26493002,T-11218,Structure of jugular notch of sternum (body structure)
26523005,C-68030,Dobutamine (product)
26525003,L-80176,White Park cattle breed (organism)
26527006,F-10349,Inverse Trendelenburg position (finding)
26639007,L-807A3,Toy fox terrier (organism)
26643006,G-D140,Oral route (qualifier value)
26699009,L-80433,New Forest pony (organism)
26703007,T-49630,Structure of anterior tibial vein (body structure)
26795005,T-02665,Skin structure of thenar region of palm (body structure)
26805005,T-49550,Structure of small saphenous vein (body structure)
26818002,T-47240,Superficial palmar arch structure (body structure)
26837006,L-80407,American cream horse (organism)
26893007,T-D7000,Inguinal region structure (body structure)
26947005,DD-33500,Open wound of lower limb (disorder)
26973000,L-80411,American trotter horse (organism)
27016007,C-22813,Alizarin yellow GG stain (substance)
27054007,C-144A3,^57^Cobalt (substance)
27065002,A-13500,"Surgical suture, device (physical object)"
27081007,C-172A5,^127^Xenon (substance)
27088001,T-A7070,Spinal cord white matter structure (body structure)
27090000,M-81203,Transitional cell carcinoma (morphologic abnormality)
27120008,C-22890,Malachite green stain (substance)
27125003,L-80A18,Korat cat (organism)
27175001,T-46970,Structure of testicular artery (body structure)
27315000,P1-48520,Removal of breast implant (procedure)
27337007,D3-31742,Unifocal premature ventricular complexes (disorder)
27372005,P1-C0200,Regional anesthesia (procedure)
27385008,L-80889,Field spaniel (organism)
27398004,T-D4600,Omentum structure (body structure)
27431007,D7-90310,Fibrocystic breast changes (finding)
27444002,L-80720,Belgian tervuren dog (organism)
27483000,P5-00100,Diagnostic radiography with contrast media (procedure)
27606000,A-04200,"Dental prosthesis, device (physical object)"
27612005,T-A8150,Trigeminal nerve structure (body structure)
27615007,L-807B3,Great dane dog (organism)
27637000,D4-31B16,Dextrocardia (disorder)
27671009,C-22A04,Rhodamine B stain (substance)
27706005,T-48502,Structure of left pulmonary vein (body structure)
27789000,G-7155,Infrequent (qualifier value)
27812008,A-2C140,"Electric heating pad, device (physical object)"
27844007,C-22872,Benzo fast scarlet stain (substance)
27855007,T-54650,Structure of deciduous maxillary right second molar tooth (body structure)
27872000,P3-05050,Specimen freezing (procedure)
27885002,D3-32102,Complete atrioventricular block (disorder)
27887005,T-02135,Skin structure of medial canthus (body structure)
27925004,M-03010,Nodule (morphologic abnormality)
27947004,T-D4200,Epigastric region structure (body structure)
27949001,T-15770,Intertarsal joint structure (body structure)
28035005,T-54000,"Structure of teeth, gums, and supporting structures (body structure)"
28121005,C-B0331,Iophendylate (substance)
28205006,T-42520,Structure of infrarenal aorta (body structure)
28231008,T-63000,Gallbladder structure (body structure)
28243009,C-136A5,^226^Radium (substance)
